QUADRANT,FULLADDRESS,ZIPCODE,BEDRM,BATHRM,KITCHENS,PRICE
NW,1416 CORCORAN STREET NW,20009.0,4,3,2.0,1700000.0
NW,1910 1/2 NEW HAMPSHIRE AVENUE NW,20009.0,3,2,2.0,1363000.0
NW,1619 SWANN STREET NW,20009.0,4,6,4.0,1500000.0
NW,1707 21ST STREET NW,20009.0,6,4,4.0,1351830.0
NW,2025 R STREET NW,20009.0,6,4,2.0,1844970.0
NW,2014 HILLYER PLACE NW,20009.0,5,3,2.0,1625000.0
NW,1760 T STREET NW,20009.0,5,2,2.0,1925000.0
NW,1808 CORCORAN STREET NW,20009.0,3,2,1.0,950000.0
NW,1639 19TH STREET NW,20009.0,3,2,2.0,1330000.0
NW,1524 18TH STREET NW,20036.0,4,4,4.0,2279000.0
NW,1720 SEATON STREET NW,20009.0,3,1,1.0,635000.0
NW,1601 15TH STREET NW,20009.0,4,3,2.0,2020000.0
NW,1442 Q STREET NW,20009.0,3,3,2.0,2000000.0
NW,1822 16TH STREET NW,20009.0,4,2,1.0,1510000.0
NW,1908 16TH STREET NW,20009.0,3,2,2.0,1120000.0
NW,1905 NEW HAMPSHIRE AVENUE NW,20009.0,2,1,1.0,915000.0
NW,1619 1/2 21ST STREET NW,20009.0,5,5,2.0,2295000.0
NW,1615 21ST STREET NW,20009.0,5,3,2.0,1670000.0
NW,1703 SEATON STREET NW,20009.0,3,1,1.0,875000.0
NW,1719 SEATON STREET NW,20009.0,3,1,1.0,880000.0
NW,1738 V STREET NW,20009.0,3,2,1.0,800000.0
NW,1341 V STREET NW,20009.0,3,1,1.0,825000.0
NW,1630 RIGGS PLACE NW,20009.0,4,2,2.0,1600000.0
NW,1626 RIGGS PLACE NW,20009.0,5,3,2.0,1890000.0
NW,1620 RIGGS PLACE NW,20009.0,5,3,1.0,2210555.0
NW,1613 RIGGS PLACE NW,20009.0,3,2,1.0,1525000.0
NW,1615 RIGGS PLACE NW,20009.0,3,3,2.0,1250000.0
NW,800 NEW HAMPSHIRE AVENUE NW,20037.0,2,2,1.0,599100.0
NW,1721 U STREET NW,20009.0,4,3,3.0,1450000.0
NW,1304 W STREET NW,20009.0,3,2,1.0,932000.0
NW,1610 1/2 Q STREET NW,20009.0,6,5,2.0,1800000.0
NW,2008 1/2 15TH STREET NW,20009.0,5,3,2.0,1370000.0
NW,1336 22ND STREET NW,20037.0,4,3,1.0,1120000.0
NW,2213 WASHINGTON CIRCLE NW,20037.0,3,3,3.0,837500.0
NW,1008 22ND STREET NW,20037.0,3,3,2.0,1725000.0
NW,1725 SEATON STREET NW,20009.0,3,2,1.0,1155200.0
NW,1727 SEATON STREET NW,20009.0,3,2,1.0,1037500.0
NW,1747 T STREET NW,20009.0,4,2,2.0,1500000.0
NW,1327 CORCORAN STREET NW,20009.0,6,1,1.0,1500000.0
NW,1527 T STREET NW,20009.0,4,4,3.0,1412500.0
NW,1508 CAROLINE STREET NW,20009.0,3,1,1.0,815000.0
NW,1506 CAROLINE STREET NW,20009.0,3,2,1.0,1300000.0
NW,1515 CAROLINE STREET NW,20009.0,2,1,1.0,1115000.0
NW,2108 R STREET NW,20008.0,4,4,4.0,2700000.0
NW,2139 N STREET NW,20037.0,5,4,2.0,1800000.0
NW,1720 WILLARD STREET NW,20009.0,4,3,2.0,1505000.0
NW,1313 Q STREET NW,20009.0,3,2,2.0,1699000.0
NW,1910 17TH STREET NW,20009.0,3,2,2.0,1345000.0
NW,1738 SWANN STREET NW,20009.0,3,2,2.0,1041000.0
NW,1310 VERMONT AVENUE NW,20005.0,4,3,3.0,2600000.0
NW,1318 RHODE ISLAND AVENUE NW,20005.0,6,6,3.0,2600000.0
NW,1312 13TH STREET NW,20005.0,4,4,4.0,1450000.0
NW,1341 VERMONT AVENUE NW,20005.0,1,1,1.0,635000.0
NW,1507 CHURCH STREET NW,20005.0,3,2,2.0,1325000.0
NW,1410 1/2 15TH STREET NW,20005.0,5,3,2.0,2299000.0
NW,2109 N STREET NW,20037.0,3,4,2.0,1410000.0
NW,2128 N STREET NW,20037.0,3,1,1.0,1037250.0
NW,510 RHODE ISLAND AVENUE NW,20001.0,3,1,1.0,766000.0
NW,454 N STREET NW,20001.0,3,1,1.0,250000.0
NW,1609 8TH STREET NW,20001.0,3,2,1.0,1325000.0
NW,704 RHODE ISLAND AVENUE NW,20001.0,3,2,1.0,666000.0
NW,2130 12TH PLACE NW,20009.0,3,2,1.0,960000.0
NW,943 T STREET NW,20001.0,4,3,2.0,1225000.0
NW,1223 5TH STREET NW,20001.0,5,5,2.0,139000.0
NW,1537 8TH STREET NW,20001.0,3,3,3.0,1005000.0
NW,1539 8TH STREET NW,20001.0,4,2,2.0,1122000.0
NW,1813 WILTBERGER STREET NW,20001.0,2,1,1.0,450000.0
NW,2122 12TH STREET NW,20009.0,3,3,1.0,935000.0
SW,1222 HALF STREET SW,20024.0,4,2,1.0,760000.0
NW,468 RIDGE STREET NW,20001.0,2,2,1.0,795000.0
NW,458 M STREET NW,20001.0,4,2,2.0,1195000.0
NW,1724 6TH STREET NW,20001.0,3,2,1.0,981000.0
NW,1526 12TH STREET NW,20005.0,5,5,4.0,1575000.0
NW,1229 O STREET NW,20005.0,4,3,2.0,2000000.0
NW,946 T STREET NW,20001.0,5,4,2.0,2325000.0
NW,1521 9TH STREET NW,20001.0,2,2,1.0,1060000.0
SW,813 CAPITOL SQUARE PLACE SW,20024.0,4,3,1.0,920000.0
NW,1202 P STREET NW,20005.0,4,4,4.0,1750000.0
NW,1204 P STREET NW,20005.0,4,1,1.0,1405000.0
NW,2237 12TH STREET NW,20009.0,3,1,1.0,825000.0
NW,2249 12TH STREET NW,20009.0,4,3,1.0,1174000.0
NW,1830 9TH STREET NW,20001.0,5,3,2.0,1300000.0
NW,948 WESTMINSTER STREET NW,20001.0,4,4,4.0,1000000.0
NW,938 WESTMINSTER STREET NW,20001.0,4,3,2.0,1525000.0
NW,908 WESTMINSTER STREET NW,20001.0,3,2,1.0,1160000.0
NW,1615 1/2 6TH STREET NW,20001.0,3,2,2.0,830258.0
NW,216 N STREET NW,20001.0,3,1,1.0,750000.0
NW,1224 KIRBY STREET NW,20001.0,2,1,1.0,440000.0
NW,905 R STREET NW,20001.0,5,2,1.0,383000.0
NW,915 R STREET NW,20001.0,4,1,1.0,1230000.0
NW,921 R STREET NW,20001.0,3,3,2.0,1800000.0
NW,1220 10TH STREET NW,20001.0,2,2,1.0,710000.0
NW,208 N STREET NW,20001.0,2,2,1.0,715000.0
SW,1233 CARROLLSBURG PLACE SW,20024.0,2,2,1.0,758000.0
SW,1255 CARROLLSBURG PLACE SW,20024.0,2,2,2.0,187535.0
NW,1924 11TH STREET NW,20001.0,3,2,2.0,975000.0
NW,1916 11TH STREET NW,20001.0,4,2,1.0,1320000.0
NW,1922 11TH STREET NW,20001.0,4,2,2.0,1900000.0
NW,1901 12TH STREET NW,20009.0,2,1,1.0,925000.0
NW,1000 M STREET NW,20001.0,8,3,1.0,399900.0
NW,921 W STREET NW,20001.0,2,1,1.0,705000.0
NW,927 W STREET NW,20001.0,2,1,1.0,659000.0
NW,925 W STREET NW,20001.0,2,1,1.0,680000.0
NW,2233 10TH STREET NW,20001.0,2,2,1.0,710000.0
NW,1719 4TH STREET NW,20001.0,4,2,2.0,1150000.0
NW,1708 3RD STREET NW,20001.0,4,2,2.0,988000.0
SW,619 I STREET SW,20024.0,4,2,1.0,910000.0
NW,613 RHODE ISLAND AVENUE NW,20001.0,2,1,1.0,640000.0
NW,1115 S STREET NW,20009.0,4,2,2.0,850000.0
